# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: minutes	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks
1008.042718	Ambraseys and Melville, 1982	1008	4	27	18			Dinavar	34.6	47.4						Ambraseys and Melville, 1982	7		s						
1033.1205	Ambraseys and Jackson, 1998	1033	12	5				Jordan	32.5	35.5						Ambraseys and Jackson, 1998	7.4	0.4	s						"7.0 = Ms < 7.8"
1038.0115	Min Ziqun, 1995	1038	1	15				Dingxiang, Xinxian (Shanxi)	38.4	112.9	25	25			10	Min Ziqun, 1995	7.25		s						
1045	Ambraseys and Jackson, 1998	1045	4	5				Erzinc.	40	38						Ambraseys and Jackson, 1998	7.4	0.4	s						"7.0 = Ms < 7.8"
1050.0804	Ambraseys and Jackson, 1998	1050	8	5				Cankiri	41	33.5						Ambraseys and Jackson, 1998	7.4	0.4	s						"7.0 = Ms < 7.8"
1052	Ambraseys and Melville, 1982	1052						Khuzistan	31.5	50						Ambraseys and Melville, 1982	6.8		s						
1052.0602	Ambraseys and Melville, 1982	1052	6	2				Baihaq	36.2	57.7						Ambraseys and Melville, 1982	7		s						
1058.120818	Shebalin and Tatevossian, 1997	1058	11					Iraq	35.8	43.6	127	111		25	9	Shebalin and Tatevossian, 1997	7.2		s		Shebalin and Tatevossian, 1997	7		MSK	
1063.073	Sbeinati et al., 2005	1063	7	30				[Lebanon]	34.4	36.2				32	8	Sbeinati et al., 2005	6.9		s		Sbeinati et al., 2005	5	7-8	EMS	
1063.0923	Stucchi et al., 2012	1063	9	23				Sea of Marmara	40.867	27.411	11.1	6.8	bx			Stucchi et al., 2012	7.14	0.3	w		Guidoboni and Comastri, 2005	5	9	MCS	
1068.031808	Ambraseys et al., 1994	1068	3	18	8	30		Northern Hejaz	28.5	36.7						Ambraseys et al., 1994	7		s						
1096.121108	UTSU online	1096	12	11	8			Tokaido, Kinki	34	137.5						UTSU online	8.3		jma						
1099.021606	UTSU online	1099	2	16	6			Nankaido, Kinki	33	135.5						UTSU online	8.2		jma						
1107.021203	Stucchi et al., 2012	1107	2	12	3			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1114.11	Sbeinati et al., 2005	1114	11					Urfa	37.3	38.5				40	8-9	Sbeinati et al., 2005	7.4		s		Sbeinati et al., 2005	1	7-8	EMS	
1114.1129	Ambraseys, 2009	1114	11	29				Antioch, Maras	37.5	37.2						Ambraseys, 2009	6.9	0.3	s						
1117.07	China State Seismological Bureau and Fudan University, 1990a	1117	7					Jingyuan county in Guyuan (Ningxia)	36	106					9	China State Seismological Bureau and Fudan University, 1990a	7		s						
1125.0906	Min Ziqun, 1995	1125	9	6				Lanzhou (Gansu)	36.1	103.7	25	25			9	Min Ziqun, 1995	7		s						
1126.0808	Stucchi et al., 2012	1126	8	8				[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1139.093	Shebalin and Leydecker, 1997	1139	9	30				Caucasus	40.3	46.2	26	22		23		Shebalin and Leydecker, 1997	7.7		s						
1157.0812	Sbeinati et al., 2005	1157	8	12				[Syria]	35.4	36.6				15	9-10	Sbeinati et al., 2005	7.4		s						
1170.0629	Sbeinati et al., 2005	1170	6	29				[Syria]	34.8	36.4				35	9	Sbeinati et al., 2005	7.7		s		Sbeinati et al., 2005	12	7-8	EMS	
1177.05	Ambraseys and Melville, 1982	1177	5					East Buyin Zahra	35.7	50.7						Ambraseys and Melville, 1982	7.2		s						
1185.080612	UTSU online	1185	8	6	12			Kyoto Pref., Shiga Pref.	35	135.9						UTSU online	7.4		jma						
1196.021307	Stucchi et al., 2012	1196	2	13	7			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	9	Stucchi et al., 2012	7.5	0.3	w						
1202.052	Sbeinati et al., 2005	1202	5	20				[Lebanon]	34.1	36.1				30	9	Sbeinati et al., 2005	7.6		s		Sbeinati et al., 2005	38	9	EMS	
1209	Ambraseys and Bilham, 2003	1209			12			Nishapur	36.4	58.7						Ambraseys and Bilham, 2003	7.5		w						
1212.050105	Ambraseys, 2006	1212	5	1				Dead Sea	30	35						Ambraseys, 2006	7		s						
1216.0324	Min Ziqun, 1995	1216	3	24				Leibo (Sichuan)	28.4	103.8	150	150			9	Min Ziqun, 1995	7		s						
1230.051007	Stucchi et al., 2012	1230	5	10	7			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.3	0.3	w		Shebalin (ed.), 1977	7	6	MSK	
1246	Stucchi et al., 2012	1246						Chania	35.4	23.3	10	10	cat		7	Stucchi et al., 2012	7	0.5	w		University of Thessaloniki, 2003	1	7	MM	
1254.1014	Ambraseys and Jackson, 1998	1254	10	11				Susehri	40	39						Ambraseys and Jackson, 1998	7.4	0.4	s						"7.0 = Ms < 7.8"
1257.10022	UTSU online	1257	10	2	20			Kamakura (Sanriku?)	35.3	139.6						UTSU online	7.3		jma						
1260	Shebalin and Leydecker, 1997	1260						Caucasus	43.2	51.6	68	56		20		Shebalin and Leydecker, 1997	7.2		s						
1268.000001	Shebalin and Tatevossian, 1997	1268						Turkey	39.8	40	132	111		25	9-10	Shebalin and Tatevossian, 1997	7.2		s		Shebalin and Tatevossian, 1997	2		MSK	"crustal"
1270.100712	Ambraseys and Bilham, 2003	1270	10	7	12			Nishapur	36.2	58.8						Ambraseys and Bilham, 2003	7		w						
1275.1003	Guidoboni and Comastri, 2005	1275	10	3				Ercis	38.883	42.916					9	Shebalin and Tatevossian, 1997	6.8		s		Guidoboni and Comastri, 2005	6	10	MCS	
