# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: seconds	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks	GEHid
1008.0427180	Ambraseys and Melville, 1982	1008	04	27	18			Dinavar	34.600	47.400						Ambraseys and Melville, 1982	7.00		s							6849
1033.1205000	Ambraseys and Jackson, 1998	1033	12	05				Jordan	32.500	35.500						Ambraseys and Jackson, 1998	7.40	0.40	s						"7.0 ≤ Ms < 7.8"	7665
1038.0115000	Min Ziqun, 1995	1038	01	15				Dingxiang, Xinxian (Shanxi)	38.400	112.900	25.0	25.0			10	Min Ziqun, 1995	7.25		s							5995
1045.0000000	Ambraseys and Jackson, 1998	1045	04	05				Erzinc.	40.000	38.000						Ambraseys and Jackson, 1998	7.40	0.40	s						"7.0 ≤ Ms < 7.8"	7667
1050.0804000	Ambraseys and Jackson, 1998	1050	08	05				Cankiri	41.000	33.500						Ambraseys and Jackson, 1998	7.40	0.40	s						"7.0 ≤ Ms < 7.8"	7668
1052.0000000	Ambraseys and Melville, 1982	1052						Khuzistan	31.500	50.000						Ambraseys and Melville, 1982	6.80		s							6850
1052.0602000	Ambraseys and Melville, 1982	1052	06	02				Baihaq	36.200	57.700						Ambraseys and Melville, 1982	7.00		s							6851
1058.1208180	Shebalin and Tatevossian, 1997	1058	11					Iraq	35.800	43.600	127.0	111.0		25	9	Shebalin and Tatevossian, 1997	7.20		s		Shebalin and Tatevossian, 1997	7		MSK		6692
1063.0730000	Sbeinati et al., 2005	1063	07	30				[Lebanon]	34.400	36.200				32	8	Sbeinati et al., 2005	6.90		s		Sbeinati et al., 2005	5	7-8	EMS		50
1063.0923000	Stucchi et al., 2012	1063	09	23				Sea of Marmara	40.867	27.411	11.1	6.8	bx			Stucchi et al., 2012	7.14	0.30	w		Guidoboni and Comastri, 2005	5	9	MCS		51
1068.0318080	Ambraseys et al., 1994	1068	03	18	08	30		Northern Hejaz	28.500	36.700						Ambraseys et al., 1994	7.00		s							7630
1096.1211080	UTSU online	1096	12	11	08			Tokaido, Kinki	34.000	137.500						UTSU online	8.30		jma							80
1099.0216060	UTSU online	1099	02	16	06			Nankaido, Kinki	33.000	135.500						UTSU online	8.20		jma							82
1107.0212030	Stucchi et al., 2012	1107	02	12	03			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							96
1114.1100000	Sbeinati et al., 2005	1114	11					Urfa	37.300	38.500				40	8-9	Sbeinati et al., 2005	7.40		s		Sbeinati et al., 2005	1	7-8	EMS		106
1114.1129000	Ambraseys, 2009	1114	11	29				Antioch, Maras	37.500	37.200						Ambraseys, 2009	6.90	0.30	s							6875
1117.0700000	China State Seismological Bureau and Fudan University, 1990a	1117	07					Jingyuan county in Guyuan (Ningxia)	36.000	106.000					9	China State Seismological Bureau and Fudan University, 1990a	7.00		s							6520
1125.0906000	Min Ziqun, 1995	1125	09	06				Lanzhou (Gansu)	36.100	103.700	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6001
1126.0808000	Stucchi et al., 2012	1126	08	08				[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							119
1139.0930000	Shebalin and Leydecker, 1997	1139	09	30				Caucasus	40.300	46.200	26.0	22.0		23		Shebalin and Leydecker, 1997	7.70		s							143
1157.0812000	Sbeinati et al., 2005	1157	08	12				[Syria]	35.400	36.600				15	9-10	Sbeinati et al., 2005	7.40		s							169
